srno,category_id,sub_category_id,product_sku,name,description,dimension,material,diamond,stone,gold_weight_22k,gold_weight_18k,gold_weight_14k,making_charges,quantity,color,video,default_color,default_video,is_recommended,is_most_selling,is_most_liked,is_soliter,soliter_setting,product_base_price,product_buy_price,discount,status,total_reviews,avg_rating,related_items,title,meta_title,meta_description,meta_keyword,created_at,updated_at
17,5,NULL,DSBR216,Floral Diamond Bracelet,"The bracelet features charming floral elements linked together by a sleek gold chain.Whether worn alone or paired with other jewelry, the Diamond Fleur Bracelet adds a touch of elegance to any outfit. This diamond fleur bracelet is a must-have for those seeking gold bracelet for women, offering timeless elegance with a modern touch. Perfect for anyone interested in bracelets for women or looking for a beautiful couple bracelets to elevate their style.","{""height"":15,""width"":170}",Gold,"[{""carat"":0.59,""quantity"":100,""shape"":""round""}]",,0,4.7,4,1600,1,"yellow,rose,white",yellow,rose,yellow,0,1,1,,,67680,65153,0,1,0,0,NULL,NULL,NULL,NULL,NULL,31-01-2024 14:17,31-01-2024 14:17
18,5,NULL,DSBR216,Floral Diamond Bracelet,"The bracelet features charming floral elements linked together by a sleek gold chain.Whether worn alone or paired with other jewelry, the Diamond Fleur Bracelet adds a touch of elegance to any outfit. This diamond fleur bracelet is a must-have for those seeking gold bracelet for women, offering timeless elegance with a modern touch. Perfect for anyone interested in bracelets for women or looking for a beautiful couple bracelets to elevate their style.","{""height"":15,""width"":170}",Gold,"[{""carat"":0.59,""quantity"":100,""shape"":""round""}]",,0,4.7,4,1600,1,"yellow,rose,white",yellow,white,yellow,0,1,1,,,67680,65153,0,1,0,0,NULL,NULL,NULL,NULL,NULL,31-01-2024 14:17,31-01-2024 14:17
19,2,NULL,DSBR225,V Bracelet,"Introducing our Chevron Gold Diamond Bracelet, a stunning blend of modern design and timeless elegance. This timeless glitter bracelet is a must-have for those seeking gold bracelet for women, offering timeless elegance with a modern touch. Perfect for anyone interested in bracelets for women or looking for a beautiful couple bracelets to elevate their style.","{""height"":15,""width"":170}",Gold,"[{""carat"":1.83,""quantity"":27,""shape"":""round""}]",,0,7.3,6,1600,1,"yellow,rose,white",white,white,white,0,1,1,,,172395,163430,0,1,0,0,NULL,NULL,NULL,NULL,NULL,31-01-2024 14:17,31-01-2024 14:17
20,2,NULL,DSBR221,Trio Bracelet,"Crafted with three interlaced bands, this iconic piece invites personal interpretation, symbolizing a harmonious blend of style and sophistication. This eternal trilace bangle is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.","{""height"":4,""width"":170}",Gold,"[{""carat"":0,""quantity"":0,""shape"":""""}]",,0,38,30,1600,1,rose,rose,rose,rose,1,1,1,,,175723,180995,0,1,0,0,NULL,NULL,NULL,NULL,NULL,31-01-2024 14:17,31-01-2024 14:17
21,2,NULL,DSBR173b,Rose Gold Blossom Lab-Created Diamond Tennis Bracelet,"A stunning bracelet featuring multiple five-diamond flower clusters, exuding elegance and brilliance. This blossom radiance bracelet is a must-have for those seeking gold bracelet for women, offering timeless elegance with a modern touch. Perfect for anyone interested in bracelets for women or looking for a beautiful couple bracelets to elevate their style.","{""height"":6.20,""width"":170}",Gold,"[{""carat"":3.0,""quantity"":145,""shape"":""round""}]",,0,15,12,1600,1,"yellow,rose,white",rose,yellow,rose,1,1,1,,,295289,280973,0,1,1,4,NULL,NULL,NULL,NULL,NULL,31-01-2024 14:20,31-01-2024 14:20
22,2,NULL,DSBR173b,Yellow Gold Blossom Lab-Created Diamond Tennis Bracelet,"A stunning bracelet featuring multiple five-diamond flower clusters, exuding elegance and brilliance. This blossom radiance bracelet is a must-have for those seeking gold bracelet for women, offering timeless elegance with a modern touch. Perfect for anyone interested in bracelets for women or looking for a beautiful couple bracelets to elevate their style.","{""height"":6.20,""width"":170}",Gold,"[{""carat"":3.0,""quantity"":145,""shape"":""round""}]",,0,15,12,1600,1,"yellow,rose,white",rose,rose,rose,0,1,1,,,295289,280973,0,1,1,4,NULL,NULL,NULL,NULL,NULL,31-01-2024 14:20,31-01-2024 14:20
23,2,NULL,DSBR173b,White Gold Blossom Lab-Created Diamond Tennis Bracelet,"A stunning bracelet featuring multiple five-diamond flower clusters, exuding elegance and brilliance. This blossom radiance bracelet is a must-have for those seeking gold bracelet for women, offering timeless elegance with a modern touch. Perfect for anyone interested in bracelets for women or looking for a beautiful couple bracelets to elevate their style.","{""height"":6.20,""width"":170}",Gold,"[{""carat"":3.0,""quantity"":145,""shape"":""round""}]",,0,15,12,1600,1,"yellow,rose,white",rose,white,rose,0,1,1,,,295289,280973,0,1,1,4,NULL,NULL,NULL,NULL,NULL,31-01-2024 14:20,31-01-2024 14:20
42,1,NULL,DSRI341,Classic Engagement ring,"A classic symbol of everlasting love, this plain engagement ring features a single, elegant stone set in a simple band, perfect for capturing the beauty of your commitment. This timeless solitaire engagement ring is a must-have for those seeking ring design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold rings for girls or looking for a beautiful mens diamond rings to elevate their style.","{""height"":1.8,""width"":10}",Gold,"[{""carat"":0,""quantity"":0,""shape"":""""}]",,0,2.5,2,1600,1,"yellow,rose,white",yellow,yellow,yellow,1,1,1,yes,yes,21715,22366,0,1,0,0,NULL,NULL,NULL,NULL,NULL,24-02-2024 14:11,24-02-2024 14:11
43,1,NULL,DSRI342,Twirl Ring,"A timeless engagement ring with a classic solitaire setting, its band elegantly resembling intertwined golden ropes, symbolizing eternal love and unity. This golden knot solitaire engagement ring is a must-have for those seeking ring design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold rings for girls or looking for a beautiful mens diamond rings to elevate their style.","{""height"":1.8,""width"":10}",Gold,"[{""carat"":0,""quantity"":0,""shape"":""""}]",,0,2.5,2,1600,1,"yellow,rose,white",,yellow,,1,1,1,yes,yes,21715,22366,0,1,2,4,NULL,NULL,NULL,NULL,NULL,24-02-2024 14:11,24-02-2024 14:11
44,1,NULL,DSRI343,Pave Ring,Pave Ring,"{""height"":1.8,""width"":10}",Gold,"[{""carat"":0.16,""quantity"":20,""shape"":""round""}]",,0,2.5,2,1600,1,"yellow,rose,white",yellow,yellow,yellow,1,1,1,yes,yes,33715,33490,0,1,1,3,NULL,NULL,NULL,NULL,NULL,24-02-2024 14:11,24-02-2024 14:11
45,3,NULL,DSEA2,Solitare studs earrings,"Classic and timeless, these stud earrings feature diamonds in a four prong setting for a touch of sparkle and sophistication. This four prong round brilliant diamond stud earrings is a must-have for those seeking gold earrings for women, offering timeless elegance with a modern touch. Perfect for anyone interested in earrings design or looking for a beautiful gold jhumka design to elevate their style.",,Gold,"[{""carat"":0,""quantity"":0,""shape"":""""}]",,0,1.2,1,1600,1,"yellow,rose,white",white,yellow,white,1,1,1,yes,yes,25857,26633,0,1,0,0,NULL,NULL,NULL,NULL,NULL,25-02-2024 19:57,25-02-2024 19:57
46,3,NULL,DSEA2,Solitare studs earrings,"Classic and timeless, these stud earrings feature diamonds in a four prong setting for a touch of sparkle and sophistication. This four prong round brilliant diamond stud earrings is a must-have for those seeking gold earrings for women, offering timeless elegance with a modern touch. Perfect for anyone interested in earrings design or looking for a beautiful gold jhumka design to elevate their style.",,Gold,"[{""carat"":0,""quantity"":0,""shape"":""""}]",,0,1.2,1,1600,1,"yellow,rose,white",white,rose,white,1,1,1,yes,yes,25857,26633,0,1,0,0,NULL,NULL,NULL,NULL,NULL,25-02-2024 19:57,25-02-2024 19:57
47,3,NULL,DSEA2,Solitare studs earrings,"Classic and timeless, these stud earrings feature diamonds in a four prong setting for a touch of sparkle and sophistication. This four prong round brilliant diamond stud earrings is a must-have for those seeking gold earrings for women, offering timeless elegance with a modern touch. Perfect for anyone interested in earrings design or looking for a beautiful gold jhumka design to elevate their style.",,Gold,"[{""carat"":0,""quantity"":0,""shape"":""""}]",,0,1.2,1,1600,1,"yellow,rose,white",white,white,white,1,1,1,yes,yes,25857,26633,0,1,0,0,NULL,NULL,NULL,NULL,NULL,25-02-2024 19:57,25-02-2024 19:57
48,4,NULL,DSNE17B,Solitare Pendant with chain,"Graceful and luminous, this pendant features a drop-shaped diamond suspended from a delicate chain, radiating beauty and sophistication. This ethereal drop diamond pendant is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.",,Gold,"[{""carat"":0.09,""quantity"":1,""shape"":""round""}]",,0,8,7,1600,1,"yellow,rose,white",white,yellow,white,1,1,1,yes,yes,57752,58789,0,1,0,0,NULL,NULL,NULL,NULL,NULL,25-02-2024 22:46,25-02-2024 22:46
49,4,NULL,DSNE17B,Solitare Pendant with chain,"Graceful and luminous, this pendant features a drop-shaped diamond suspended from a delicate chain, radiating beauty and sophistication. This ethereal drop diamond pendant is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.",,Gold,"[{""carat"":0.09,""quantity"":1,""shape"":""round""}]",,0,8,7,1600,1,"yellow,rose,white",white,rose,white,1,1,1,yes,yes,57752,58789,0,1,0,0,NULL,NULL,NULL,NULL,NULL,25-02-2024 22:46,25-02-2024 22:46
50,4,NULL,DSNE17B,Solitare Pendant with chain,"Graceful and luminous, this pendant features a drop-shaped diamond suspended from a delicate chain, radiating beauty and sophistication. This ethereal drop diamond pendant is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.",,Gold,"[{""carat"":0.09,""quantity"":1,""shape"":""round""}]",,0,8,7,1600,1,"yellow,rose,white",white,white,white,1,1,1,yes,yes,57752,58789,0,1,0,0,NULL,NULL,NULL,NULL,NULL,25-02-2024 22:46,25-02-2024 22:46
57,4,NULL,DSNE347,Verve Pearl Pendant,Verve Pearl Pendant,"{""height"":200,""width"":550}",Gold,"[{""carat"":0.23,""quantity"":19,""shape"":""round""}]","[{""carat"":1.35,""quantity"":5,""shape"":""round"",""type"":""Natural Pearl"",""price"":2000,""color"":""white"" }]",0,5.5,5,1600,10,"yellow,rose,white",white,yellow,white,0,1,1,no,no,48537,48216,0,1,0,0,NULL,NULL,NULL,NULL,NULL,18-03-2024 22:45,18-03-2024 22:45
58,4,NULL,DSNE347,Verve Pearl Pendant,Verve Pearl Pendant,"{""height"":200,""width"":550}",Gold,"[{""carat"":0.23,""quantity"":19,""shape"":""round""}]","[{""carat"":1.35,""quantity"":5,""shape"":""round"",""type"":""Natural Pearl"",""price"":2000,""color"":""white"" }]",0,5.5,5,1600,10,"yellow,rose,white",white,rose,white,0,1,1,no,no,48537,48216,0,1,0,0,NULL,NULL,NULL,NULL,NULL,18-03-2024 22:45,18-03-2024 22:45
59,4,NULL,DSNE347,Verve Pearl Pendant,Verve Pearl Pendant,"{""height"":200,""width"":550}",Gold,"[{""carat"":0.23,""quantity"":19,""shape"":""round""}]","[{""carat"":1.35,""quantity"":5,""shape"":""round"",""type"":""Natural Pearl"",""price"":2000,""color"":""white"" }]",0,5.5,5,1600,10,"yellow,rose,white",white,white,white,1,1,1,no,no,48537,48216,0,1,0,0,NULL,NULL,NULL,NULL,NULL,18-03-2024 22:45,18-03-2024 22:45
60,4,NULL,DSNE180,XOXO Pendant,"Radiate love and sophistication with our XOXO Diamond Pendant, a sparkling symbol of affection and style. This xoxo pendant is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.","{""height"":110,""width"":110}",Gold,"[{""carat"":0.21,""quantity"":4,""shape"":""round""}]",,0,3.7,3,1600,10,"yellow,rose,white",white,yellow,white,0,1,1,no,no,33322,32699,0,1,0,0,NULL,NULL,NULL,NULL,NULL,18-03-2024 22:45,18-03-2024 22:45
61,4,NULL,DSNE180,XOXO Pendant,"Radiate love and sophistication with our XOXO Diamond Pendant, a sparkling symbol of affection and style. This xoxo pendant is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.","{""height"":110,""width"":110}",Gold,"[{""carat"":0.21,""quantity"":4,""shape"":""round""}]",,0,3.7,3,1600,10,"yellow,rose,white",white,rose,white,0,1,1,no,no,33322,32699,0,1,0,0,NULL,NULL,NULL,NULL,NULL,18-03-2024 22:45,18-03-2024 22:45
62,4,NULL,DSNE180,XOXO Pendant,"Radiate love and sophistication with our XOXO Diamond Pendant, a sparkling symbol of affection and style. This xoxo pendant is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.","{""height"":110,""width"":110}",Gold,"[{""carat"":0.21,""quantity"":4,""shape"":""round""}]",,0,3.7,3,1600,10,"yellow,rose,white",white,white,white,1,1,1,no,no,33322,32699,0,1,0,0,NULL,NULL,NULL,NULL,NULL,18-03-2024 22:45,18-03-2024 22:45
63,6,NULL,DSCH01,White gold chain,"Delicate gold chain, elegantly crafted for subtle sophistication. This petite gold chain is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.",,Gold,"[{""carat"":0,""quantity"":0,""shape"":""""}]",,0,4.44,4,1600,1,"yellow,rose,white",,white,,0,0,0,no,no,23430,24133,0,1,0,0,NULL,NULL,NULL,NULL,NULL,21-03-2024 18:54,21-03-2024 18:54
64,6,NULL,DSCH01,Yellow gold chain,"Delicate gold chain, elegantly crafted for subtle sophistication. This petite gold chain is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.",,Gold,"[{""carat"":0,""quantity"":0,""shape"":""""}]",,0,4.44,4,1600,1,"yellow,rose,white",,yellow,,0,0,0,no,no,23430,24133,0,1,0,0,NULL,NULL,NULL,NULL,NULL,21-03-2024 18:54,21-03-2024 18:54
65,6,NULL,DSCH01,Rose gold chain,"Delicate gold chain, elegantly crafted for subtle sophistication. This petite gold chain is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.",,Gold,"[{""carat"":0,""quantity"":0,""shape"":""""}]",,0,4.44,4,1600,1,"yellow,rose,white",,rose,,0,0,0,no,no,23430,24133,0,1,0,0,NULL,NULL,NULL,NULL,NULL,21-03-2024 18:54,21-03-2024 18:54
66,4,NULL,DSNE7b,Diamond Gleam Pearl Pendant,"This necklace is a real gem, blending the softness of a pearl with the sparkle of a diamond. Incorporate this pendant into your jewelry box to elevate any ensemble with grace. This diamond gleam pearl pendant is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.","{""height"":11.5,""width"":6}",Gold,"[{""carat"":0.6,""quantity"":1,""shape"":""round""}]","[{""carat"":1.5,""quantity"":1,""shape"":""round"",""price"":1000,""color"":""white"",""type"":""Pearl""}]",0,4.5,3.9,999,1,"rose,yellow,white",white,rose,white,0,1,1,no,no,66617,63981,0,1,0,0,NULL,NULL,NULL,NULL,NULL,19-05-2024 22:18,19-05-2024 22:18
67,4,NULL,DSNE7b,Diamond Gleam Pearl Pendant,"This necklace is a real gem, blending the softness of a pearl with the sparkle of a diamond. Incorporate this pendant into your jewelry box to elevate any ensemble with grace. This diamond gleam pearl pendant is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.","{""height"":11.5,""width"":6}",Gold,"[{""carat"":0.6,""quantity"":1,""shape"":""round""}]","[{""carat"":1.5,""quantity"":1,""shape"":""round"",""price"":1000,""color"":""white"",""type"":""Pearl""}]",0,4.5,3.9,999,1,"rose,yellow,white",white,yellow,white,0,1,1,no,no,66617,63981,0,1,0,0,NULL,NULL,NULL,NULL,NULL,19-05-2024 22:18,19-05-2024 22:18
68,4,NULL,DSNE7b,Diamond Gleam Pearl Pendant,"This necklace is a real gem, blending the softness of a pearl with the sparkle of a diamond. Incorporate this pendant into your jewelry box to elevate any ensemble with grace. This diamond gleam pearl pendant is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.","{""height"":11.5,""width"":6}",Gold,"[{""carat"":0.6,""quantity"":1,""shape"":""round""}]","[{""carat"":1.5,""quantity"":1,""shape"":""round"",""price"":1000,""color"":""white"",""type"":""Pearl""}]",0,4.5,3.9,999,1,"rose,yellow,white",white,white,white,1,1,1,no,no,66617,63981,0,1,0,0,NULL,NULL,NULL,NULL,NULL,19-05-2024 22:18,19-05-2024 22:18
69,4,NULL,DSNE145,Radiant Crescents Pendant,"Glimmering Harmony: A necklace of pearls and diamonds, gently embracing elegance in a graceful shape. This radiant crescents pendant is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.","{""height"":15,""width"":36}",Gold,"[{""carat"":0.55,""quantity"":5,""shape"":""round""}]","[{""carat"":6,""quantity"":5,""shape"":""round"",""price"":4500,""color"":""white"",""type"":""Pearl""}]",0,6.4,5.6,999,1,"rose,yellow,white",yellow,rose,yellow,0,1,1,no,no,75354,73366,0,1,0,0,NULL,NULL,NULL,NULL,NULL,19-05-2024 22:18,19-05-2024 22:18
70,4,NULL,DSNE145,Radiant Crescents Pendant,"Glimmering Harmony: A necklace of pearls and diamonds, gently embracing elegance in a graceful shape. This radiant crescents pendant is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.","{""height"":15,""width"":36}",Gold,"[{""carat"":0.55,""quantity"":5,""shape"":""round""}]","[{""carat"":6,""quantity"":5,""shape"":""round"",""price"":4500,""color"":""white"",""type"":""Pearl""}]",0,6.4,5.6,999,1,"rose,yellow,white",yellow,yellow,yellow,1,1,1,no,no,75354,73366,0,1,0,0,NULL,NULL,NULL,NULL,NULL,19-05-2024 22:18,19-05-2024 22:18
71,4,NULL,DSNE145,Radiant Crescents Pendant,"Glimmering Harmony: A necklace of pearls and diamonds, gently embracing elegance in a graceful shape. This radiant crescents pendant is a must-have for those seeking gold necklace design, offering timeless elegance with a modern touch. Perfect for anyone interested in gold ring for men or looking for a beautiful bracelets for women to elevate their style.","{""height"":15,""width"":36}",Gold,"[{""carat"":0.55,""quantity"":5,""shape"":""round""}]","[{""carat"":6,""quantity"":5,""shape"":""round"",""price"":4500,""color"":""white"",""type"":""Pearl""}]",0,6.4,5.6,999,1,"rose,yellow,white",yellow,white,yellow,0,1,1,no,no,75354,73366,0,1,0,0,NULL,NULL,NULL,NULL,NULL,19-05-2024 22:18,19-05-2024 22:18
